"teststat","gene","pFdr"
0.27491073985196,"MC1R",0.978943756281902
1.00406239618352,"MCC",0.93137694545857
0.0365221544049464,"MCL1",0.98714764841694
2.90614028685613,"CD46",0.79195283169625
0.02959016191327,"MDH1",0.987853172657534
0.0314549127660532,"MDM2",0.987853172657534
0.191832277241035,"MDM4",0.978943756281902
0.105226615330972,"ME2",0.978943756281902
2.69671251651099,"MEF2A",0.811430760963617
0.641137565284131,"MEF2C",0.947254995302584
0.309116237848423,"MAP3K1",0.978943756281902
0.096388841568345,"MAP3K3",0.978943756281902
0.67897420621004,"MAP3K4",0.945888227412572
0.0435538480288339,"MAP3K5",0.986252986845984
0.448017525744483,"RAB8A",0.966383115487852
1.02533140419727,"MEN1",0.93137694545857
0.262083118177245,"MET",0.978943756281902
1.23525886920535,"MFGE8",0.910006627598438
0.581909699774583,"MGAT1",0.947254995302584
0.0335643372913681,"MGAT2",0.987853172657534
0.0466653641326071,"MGAT3",0.985794221665268
6.1357817913404,"KITLG",0.594722297008989
0.00136490958794169,"CIITA",0.995346537676553
0.11628058135324,"CD99",0.978943756281902
0.57814340877585,"ASAH1",0.949412007526424
0.355568821084266,"MIF",0.977219395779425
0.0074068110710715,"CXCL9",0.993029479704196
0.00841094893389444,"MITF",0.993029479704196
1.00043038054516,"ATXN3",0.93137694545857
1.02792546060247,"MLH1",0.93137694545857
0.952897121749462,"MAP3K9",0.93137694545857
0.928875788573397,"MAP3K10",0.93137694545857
0.105587044466522,"MAP3K11",0.978943756281902
0.00121893979764105,"MLLT1",0.995346537676553
2.26920837002275,"AFDN",0.821655919899476
0.0259627468948739,"FOXO4",0.989010006341971
6.94864614199826,"NR3C2",0.485405153799754
1.30631491413697,"MME",0.90216308344847
3.17655860919996,"MMP1",0.78440499570353
0.89164998081019,"MMP2",0.93137694545857
3.34648136171814,"MMP3",0.777650314351931
0.380509702159475,"MMP7",0.975665541961496
0.702945157101895,"MMP9",0.942336635064212
1.74191283611893,"MMP13",0.861695105344109
6.10962160300005,"MMP14",0.594722297008989
6.92407368554507,"MMP16",0.485405153799754
0.147159148513745,"ALDH6A1",0.978943756281902
0.112531906406404,"MOCS1",0.978943756281902
0.000639026034713475,"MOCS2",0.996418935838512
3.70235543869348,"ASL",0.747576965452936
0.21013059415662,"MPI",0.978943756281902
2.50283521674127,"MPST",0.821655919899476
0.768515201632791,"MRE11",0.93816655781328
0.936191496338142,"ABCC1",0.93137694545857
2.12967715066032,"ASNS",0.83028756835596
0.220402975517759,"EIF2AK4",0.978943756281902
0.00374777401488589,"NRARP",0.993029479704196
0.000879444729592921,"PGAM4",0.996418935838512
0.728270558967804,"ASPH",0.940751377502955
0.335592757374334,"ASS1",0.977219395779425
