base_gene_src	base_id_src	base_gene_dest	base_id_dest	pathway
10912	ENTREZID	85417	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
898	ENTREZID	1027	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1017	ENTREZID	1027	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1027	ENTREZID	1019	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1027	ENTREZID	595	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1027	ENTREZID	1017	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1027	ENTREZID	890	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
6502	ENTREZID	1027	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
6500	ENTREZID	1027	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
4087	ENTREZID	1030	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
4089	ENTREZID	1030	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1030	ENTREZID	1019	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1030	ENTREZID	595	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
7709	ENTREZID	1030	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
7040	ENTREZID	4087	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1017	ENTREZID	990	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
890	ENTREZID	990	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
993	ENTREZID	1019	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
993	ENTREZID	1017	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
993	ENTREZID	983	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
2932	ENTREZID	595	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
902	ENTREZID	983	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1022	ENTREZID	983	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
902	ENTREZID	1017	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1022	ENTREZID	1017	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
7027	ENTREZID	898	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
